datetime,student,task
2019-09-22 03:06,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-09-22 03:06,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-09-22 03:06,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-09-22 03:06,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-09-22 03:06,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-09-22 03:06,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-09-22 03:08,Светлана,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-22 03:53,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-09-22 05:30,Максим,Самостоятельная работа №2. Установка Anaconda
2019-09-22 16:29,Максим,Самостоятельная работа №2. Установка Anaconda
2019-09-22 16:51,Максим,Самостоятельная работа №2. Установка Anaconda
2019-09-22 16:52,Максим,Самостоятельная работа №2. Установка Anaconda
2019-09-22 16:52,Максим,Самостоятельная работа №2. Установка Anaconda
2019-09-22 16:52,Максим,Самостоятельная работа №2. Установка Anaconda
2019-09-22 16:52,Максим,Самостоятельная работа №2. Установка Anaconda
2019-09-22 22:00,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-22 22:13,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-22 22:15,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-22 22:15,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-22 22:15,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-22 22:15,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-22 22:15,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-22 22:16,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-22 22:18,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-23 09:32,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-23 17:45,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-24 13:41,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-24 13:53,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-24 13:54,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-24 13:59,Максим,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-24 15:12,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-24 19:52,Дмитрий,Самостоятельная работа №2. Установка Anaconda
2019-09-24 20:49,Дмитрий,Самостоятельная работа №2. Установка Anaconda
2019-09-24 21:31,Дмитрий,Самостоятельная работа №2. Установка Anaconda
2019-09-24 22:54,Надежда,Самостоятельная работа №2. Установка Anaconda
2019-09-25 10:45,Юлия,Самостоятельная работа №2. Установка Anaconda
2019-09-25 11:17,Надежда,Самостоятельная работа №2. Установка Anaconda
2019-09-25 11:17,Надежда,Самостоятельная работа №2. Установка Anaconda
2019-09-25 11:53,Юлия,Самостоятельная работа №2. Установка Anaconda
2019-09-25 12:06,Юлия,Самостоятельная работа №2. Установка Anaconda
2019-09-25 12:11,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-09-25 12:58,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-25 13:26,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-25 13:27,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 14:02,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-25 14:02,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 14:04,Дмитрий,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 14:09,Юлия,Лабораторная работа №1. Python
2019-09-25 14:10,Юлия,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:09,Светлана,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:16,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:16,Светлана,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:16,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:16,Светлана,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:16,Светлана,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:16,Светлана,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:16,Светлана,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:17,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:17,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:17,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:17,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:19,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-25 15:19,Светлана,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:20,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:20,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:21,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:21,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:21,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:21,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:21,Юлия,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:21,Юлия,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:22,Юлия,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:22,Юлия,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:22,Юлия,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:22,Юлия,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:22,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:22,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:22,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:22,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:22,Кирилл,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:24,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-09-25 15:25,Максим,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:25,Олег,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:25,Максим,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:25,Олег,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:26,Максим,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:26,Максим,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:26,Максим,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:26,Максим,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:26,Олег,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:26,Олег,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:26,Олег,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:26,Олег,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:29,Надежда,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:29,Надежда,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:29,Надежда,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:29,Надежда,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:29,Надежда,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:29,Надежда,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:33,Дмитрий,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:33,Дмитрий,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:34,Дмитрий,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:34,Дмитрий,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:34,Дмитрий,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 15:34,Дмитрий,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-25 20:53,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-25 20:54,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-25 20:54,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-25 20:54,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-25 20:54,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-25 20:54,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-09-26 23:12,Максим,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-09-27 16:50,Дмитрий,Самостоятельная работа №2. Установка Anaconda
2019-09-29 22:59,Дмитрий,Самостоятельная работа №2. Установка Anaconda
2019-09-29 22:59,Дмитрий,Лабораторная работа №2. Линейная алгебра и библиотека numpy
